school,band_name,city,state,event,year,source_url,_source,exclusion_reason
Combined bands of Midland Valley and Silver Bluff High Schools,,Granitville,SC,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
Kutztown University Marching Unit,,Kutztown,PA,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,college/university
Heights Youth Club and Marching Band,,,,Philadelphia,2015,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,community band
Baldwin County All-Star Band,,Baldwin County,AL,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
Tournament of Bands All Star Marching Band,,,,Philadelphia,2016,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
University of Delaware Band,,Newark,DE,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,college/university
Tournament of Bands All Star Marching Band,,,,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
Scotland County High School,Scotland County High School Band,Laurinburg,NC,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,non-US group
Wyoming All-State Band,,,WY,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
Tournament of Bands All Star Marching Band,,,,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,all-star/honor/all-district band
University of New Hampshire Marching Band,,Durham,NH,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,college/university
West Chester University Golden Rams Marching Band,,West Chester,PA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,philly,college/university
Cavalcade of Bands Honor Band,,Harrisburg,PA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Escuela Secundaria General #5, Manuel R. Gutierrez","Banda Musical Delfines, Veracruz, Mexico",,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Florida State University Marching Chiefs,,Tallahassee,FL,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Helsingor Pipegarde,"Elsinore Girls Marching Band, Denmark",,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Koriyama Honor Green Band, Koriyama, Japan",,,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
University of Oregon Marching Band,,Eugene,OR,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Tournament of Roses Honor Band and Herald Trumpets,,Pasadena,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
United States Marine Corps West Coast Composite Band,,,,Rose,2015,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
Albany State University Marching Rams,,Albany,GA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"Centro Escolar José Maria Morelos y Pavón, Aguilas Doradas Marching Band, Puebla, Mexico",,,,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
University of Iowa Hawkeye Marching Band,,Iowa City,IA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
"Instituto Pedro Molina, Latin Band Pedro Molina, Coatepeque, Guatemala",,,,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Pasadena City College Tournament of Roses Honor Band and Herald Trumpets,,Pasadena,CA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
Leland Stanford Junior University Marching Band,,Stanford,CA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Toho High School,"Dragon Band, Nagoya, Japan",,,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
Virginia Military Institute Regimental Band and Pipe Band,,Lexington,VA,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
Wyoming All-State Marching Band,,Cheyenne,WY,Rose,2016,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Bands of America Honor Band, USA",,,,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Buhos Marching Band, Xalapa, Veracruz, Mexico",,,,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
"Gifusho Green Band, Gifu, Japan",,,,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
