school,band_name,city,state,event,year,source_url
Penn High School,Penn High School Marching Band,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
PAVA Korean Traditional Band,PAVA Korean Traditional Band,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
Olentangy Orange High School,The Olentangy Orange High School Marching Pioneers,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
Milton High School,,,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
"Greenwood Marching Woodmen & Irish Guard – Greenwood, Indiana","Greenwood Marching Woodmen & Irish Guard – Greenwood, Indiana",,,Hollywood,2021,https://thehollywoodchristmasparade.org/category/2021-marching-band-and-pageantry/
Norwalk High School,,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Shawnee Mission West Band,Shawnee Mission West Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
PUSD All-Star Band,PUSD All-Star Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Gadsden Elementary School,Gadsden Elementary School District,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Concord Community High School,Concord Community High School Marching Minutemen,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Cherry Creek High School,Cherry Creek High School Marching Band,,,Hollywood,2022,https://thehollywoodchristmasparade.org/category/2022-marching-band-and-pageantry/
Marine Band San Diego,Marine Band San Diego,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
Origin Hip Hop Academy,The Origin Hip Hop Academy and sister School Hip Hop Dreamz,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
California Springs School,California Springs School of Rhythmic Gymnastics,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
South Paulding High School,The South Paulding High School Band,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
GevorkianDance Academy,The GevorkianDance Academy,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
Compton High School,Compton High School Band and Attachment,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
Los Angeles Catholic Schools Band,Los Angeles Catholic Schools Band,,,Hollywood,2023,https://thehollywoodchristmasparade.org/category/2023-marching-bands-pageantry-and-dance-groups/
Gadsden Band,Gadsden Band,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/
Pasadena Unified School,Pasadena Unified School District All Star Band,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/
Northview High School,,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/
Los Angeles Catholic School,Los Angeles Catholic School Band,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/
Burton Bulldog Marching Band,Burton Bulldog Marching Band,,,Hollywood,2024,https://thehollywoodchristmasparade.org/category/2024-marching-bands-dance-cheer-groups/
Perez Dance and Tumbling Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
San Marino Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
The Washington Union Marching Band of Fresno California,The Washington Union Marching Band of Fresno California,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Van Nuys High School,Van Nuys High School Cheer,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Gevorkian Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
LA Catholic School,LA Catholic School Marching Band,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Milton High School,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Burton Bulldog Marching Band,Burton Bulldog Marching Band,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Muévete Dance Academy,,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Greenwood High School,The Greenwood High School Marching Woodmen,,,Hollywood,2025,https://thehollywoodchristmasparade.org/category/2025-marching-bands-dance-cheer-groups/
Cherry Creek High School,Cherry Creek High School Marching Band,,,Hollywood,2026,https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/
Sonata Music School,Sonata Music School Dhol Class,,,Hollywood,2026,https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/
Franklin Central Marching Flashes,Franklin Central Marching Flashes,,,Hollywood,2026,https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/
Segunda Unidad Macaná Marching Band,Segunda Unidad Macaná Marching Band,,,Hollywood,2026,https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/
Burton Bulldog Marching Band,Burton Bulldog Marching Band,,,Hollywood,2026,https://thehollywoodchristmasparade.org/category/2026-marching-bands-dance-cheer-groups/
