school,band_name,city,state,event,year,source_url
Pride of Portage Marching Band,,Portage,IN,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Twin Lakes High School,Spirit of Twin Lakes High School Band,Monticello,IN,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Tournament of Bands All Star Marching Band,,,,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
University of New Hampshire Marching Band,,Durham,NH,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
West Chester University Golden Rams Marching Band,,West Chester,PA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
White Knoll High School,White Knoll High School Band,Lexington,SC,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Clearview Regional High School,Clearview Regional High School Band,Gloucester County,NJ,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Decatur Central High School,Decatur Central High School Marching Band and Color Guard,,,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
East Hills Middle School,East Hills Middle School Marching Band,Bethlehem,PA,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Jasper High School,Jasper High School Band,Jasper,IN,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Kingsway Regional High School,Kingsway Regional High School Band,Gloucester County,NJ,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Mount Vernon High School,Mount Vernon High School Marching Band,,IN,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Parkland High School,Parkland High School Band,Allentown,PA,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pennsbury High School,Pennsbury High School Marching Band,Fairless Hills,PA,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pocono Mountain East High School,Pocono Mountain East High School Band,Swiftwater,PA,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Reynoldsburg Raider Marching Band,,Reynoldsburg,OH,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Salem High School,Salem High School Marching Band,,VA,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Whiteland Community High School,Whiteland Community High School Band,Whiteland,IN,Philadelphia,2022,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
